Year,Peak_Flow
1950,605.97952
1951,566.336
1952,645.62304
1953,600.31616
1954,577.66272
1955,421.92032
1956,730.57344
1957,620.13792
1958,484.21728
1959,685.26656
1960,444.57376
1961,441.74208
1962,577.66272
1963,571.99936
1964,571.99936
1965,790.03872
1966,453.0688
1967,705.08832
1968,696.5932799999999
1969,600.31616
1970,690.92992
1971,826.85056
1972,756.0585599999999
1973,597.48448
1974,1027.89984
1975,727.74176
1976,605.97952
1977,402.09856
1978,736.2368
1979,569.16768
1980,424.752
1981,673.93984
1982,790.03872
1983,526.69248
1984,506.87072
1985,430.41536
1986,679.6032
1987,210.96016
1988,458.73216
1989,458.73216
1990,487.04895999999997
1991,651.2864
1992,390.77184
1993,679.6032
1994,478.55392
1995,671.10816
1996,1050.55328
1997,1076.0384
1998,532.35584
1999,662.61312
2000,546.51424
2001,419.08864
2002,733.40512
2003,770.21696
2004,376.61343999999997
2005,506.87072
2006,639.9596799999999
2007,430.41536
2008,744.73184
2009,665.4448
2010,795.70208
2011,1149.66208
2012,665.4448
2013,506.87072
2014,925.95936
2015,441.74208
2016,362.45504
2017,744.73184
2018,951.44448
2019,645.62304
2020,866.4940799999999
