Station,Return Period (Years),Exceedance Probability,Non-Exceedance Probability,Normal,Log-Normal,Gumbel,Log-Pearson Type III
06191500,2,0.5,0.5,546.881,528.3,525.626,535.746
06191500,5,0.2,0.8,666.633,661.469,670.049,663.291
06191500,10,0.1,0.9,729.229,743.947,765.67,735.956
06191500,25,0.04,0.96,795.981,843.261,886.488,817.603
06191500,50,0.02,0.98,839.103,914.361,976.117,872.443
06191500,100,0.01,0.99,877.89,983.421,1065.085,923.055
06191500,200,0.005,0.995,913.388,1051.187,1153.727,970.35
06192500,2,0.5,0.5,626.22,600.786,599.134,608.858
06192500,5,0.2,0.8,777.291,768.601,776.323,770.524
06192500,10,0.1,0.9,856.259,874.222,893.638,865.076
06192500,25,0.04,0.96,940.469,1002.893,1041.866,973.42
06192500,50,0.02,0.98,994.869,1095.918,1151.829,1047.446
06192500,100,0.01,0.99,1043.801,1186.94,1260.981,1116.662
06192500,200,0.005,0.995,1088.583,1276.854,1369.734,1182.128
06214500,2,0.5,0.5,1227.154,1176.689,1170.93,1190.711
06214500,5,0.2,0.8,1525.665,1505.943,1515.044,1510.257
06214500,10,0.1,0.9,1681.702,1713.231,1742.877,1698.953
06214500,25,0.04,0.96,1848.097,1965.81,2030.744,1916.91
06214500,50,0.02,0.98,1955.588,2148.446,2244.301,2066.935
06214500,100,0.01,0.99,2052.275,2327.175,2456.28,2208.049
06214500,200,0.005,0.995,2140.763,2503.748,2667.487,2342.279
